TransactionID,Date,Country,Description,Revenue,Quantity,YearMonth
536527,2010-12-01 13:04:00,Germany,SET OF 6 T-LIGHTS SANTA,17.700000000000003,6,2010-12
536527,2010-12-01 13:04:00,Germany,ROTATING SILVER ANGELS T-LIGHT HLDR,15.3,6,2010-12
536527,2010-12-01 13:04:00,Germany,MULTI COLOUR SILVER T-LIGHT HOLDER,10.2,12,2010-12
536527,2010-12-01 13:04:00,Germany,5 HOOK HANGER MAGIC TOADSTOOL,19.799999999999997,12,2010-12
536527,2010-12-01 13:04:00,Germany,3 HOOK HANGER MAGIC GARDEN,23.4,12,2010-12
536527,2010-12-01 13:04:00,Germany,5 HOOK HANGER RED MAGIC TOADSTOOL,19.799999999999997,12,2010-12
536527,2010-12-01 13:04:00,Germany,ASSORTED COLOUR LIZARD SUCTION HOOK,10.08,24,2010-12
536527,2010-12-01 13:04:00,Germany,JUMBO BAG WOODLAND ANIMALS,19.5,10,2010-12
536527,2010-12-01 13:04:00,Germany,JUMBO BAG OWLS,19.5,10,2010-12
536527,2010-12-01 13:04:00,Germany,HOT WATER BOTTLE BABUSHKA ,18.6,4,2010-12
536527,2010-12-01 13:04:00,Germany,HOMEMADE JAM SCENTED CANDLES,17.4,12,2010-12
536527,2010-12-01 13:04:00,Germany,CHILDREN'S CIRCUS PARADE MUG,19.799999999999997,12,2010-12
536527,2010-12-01 13:04:00,Germany,PACK 3 FIRE ENGINE/CAR PATCHES,15.0,12,2010-12
536527,2010-12-01 13:04:00,Germany,PICTURE DOMINOES,17.4,12,2010-12
536527,2010-12-01 13:04:00,Germany,POSTAGE,18.0,1,2010-12
C536548,2010-12-01 14:33:00,Germany,3 HOOK HANGER MAGIC GARDEN,-7.8,-4,2010-12
C536548,2010-12-01 14:33:00,Germany,5 HOOK HANGER MAGIC TOADSTOOL,-8.25,-5,2010-12
C536548,2010-12-01 14:33:00,Germany,SET/5 RED RETROSPOT LID GLASS BOWLS,-2.95,-1,2010-12
C536548,2010-12-01 14:33:00,Germany,SET OF SALT AND PEPPER TOADSTOOLS,-8.75,-7,2010-12
C536548,2010-12-01 14:33:00,Germany,DELUXE SEWING KIT ,-5.95,-1,2010-12
C536548,2010-12-01 14:33:00,Germany,TRIPLE PHOTO FRAME CORNICE ,-19.9,-2,2010-12
C536548,2010-12-01 14:33:00,Germany,RETROSPOT PARTY BAG + STICKER SET,-1.65,-1,2010-12
C536548,2010-12-01 14:33:00,Germany,"HOOK, 1 HANGER ,MAGIC GARDEN",-1.7,-2,2010-12
C536548,2010-12-01 14:33:00,Germany,6 RIBBONS RUSTIC CHARM,-9.9,-6,2010-12
C536548,2010-12-01 14:33:00,Germany,CIRCUS PARADE LUNCH BOX ,-1.95,-1,2010-12
C536548,2010-12-01 14:33:00,Germany,ORGANISER WOOD ANTIQUE WHITE ,-17.0,-2,2010-12
C536548,2010-12-01 14:33:00,Germany,RED SPOTTY BISCUIT TIN,-11.25,-3,2010-12
C536548,2010-12-01 14:33:00,Germany,PORCELAIN HANGING BELL SMALL,-1.45,-1,2010-12
C536548,2010-12-01 14:33:00,Germany,ADVENT CALENDAR GINGHAM SACK,-23.8,-4,2010-12
C536622,2010-12-02 10:37:00,Germany,SET 7 BABUSHKA NESTING BOXES,-17.0,-2,2010-12
536840,2010-12-02 18:27:00,Germany,JAM MAKING SET PRINTED,17.4,12,2010-12
536840,2010-12-02 18:27:00,Germany,JAM JAR WITH PINK LID,10.2,12,2010-12
536840,2010-12-02 18:27:00,Germany,JAM JAR WITH GREEN LID,10.2,12,2010-12
536840,2010-12-02 18:27:00,Germany,SWEETHEART CAKESTAND 3 TIER,9.95,1,2010-12
