TransactionID,Date,Country,Description,Revenue,Quantity,YearMonth
536403,2010-12-01 11:27:00,Netherlands,HAND WARMER BIRD DESIGN,177.60000000000002,96,2010-12
536403,2010-12-01 11:27:00,Netherlands,POSTAGE,15.0,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,PACK OF 12 WOODLAND TISSUES ,3.4799999999999995,12,2010-12
539491,2010-12-20 10:09:00,Netherlands,PACK OF 12 PINK POLKADOT TISSUES,3.4799999999999995,12,2010-12
539491,2010-12-20 10:09:00,Netherlands,SET OF 3 CAKE TINS PANTRY DESIGN ,9.9,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,JUMBO STORAGE BAG SUKI,1.95,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,PACK OF 20 SPACEBOY NAPKINS,1.7,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,FUNKY WASHING UP GLOVES ASSORTED,2.1,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,RED RETROSPOT BIG BOWL,9.9,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,JAM MAKING SET WITH JARS,4.25,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,CHARLOTTE BAG SUKI DESIGN,1.7,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,SET/10 IVORY POLKADOT PARTY CANDLES,2.5,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,PINK PARTY BAGS,4.2,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,WOODLAND PARTY BAG + STICKER SET,3.3,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,RETROSPOT PARTY BAG + STICKER SET,3.3,2,2010-12
539491,2010-12-20 10:09:00,Netherlands,200 RED + WHITE BENDY STRAWS,1.25,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,PENCIL CASE LIFE IS BEAUTIFUL,2.95,1,2010-12
539491,2010-12-20 10:09:00,Netherlands,POSTAGE,15.0,1,2010-12
539731,2010-12-21 15:05:00,Netherlands,PACK OF 72 RETROSPOT CAKE CASES,100.8,240,2010-12
539731,2010-12-21 15:05:00,Netherlands,EASTER TIN KEEPSAKE,156.6,108,2010-12
539731,2010-12-21 15:05:00,Netherlands,PINK METAL CHICKEN HEART ,240.0,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,YELLOW METAL CHICKEN HEART ,240.0,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,EASTER TIN BUNNY BOUQUET,156.6,108,2010-12
539731,2010-12-21 15:05:00,Netherlands,ASSORTED EASTER DECORATIONS  BELLS,305.28000000000003,288,2010-12
539731,2010-12-21 15:05:00,Netherlands,SUKI  SHOULDER BAG,145.0,100,2010-12
539731,2010-12-21 15:05:00,Netherlands,LUNCH BAG SUKI  DESIGN ,145.0,100,2010-12
539731,2010-12-21 15:05:00,Netherlands,PACK OF 72 SKULL CAKE CASES,50.4,120,2010-12
539731,2010-12-21 15:05:00,Netherlands,SKULL LUNCH BOX WITH CUTLERY ,252.0,120,2010-12
539731,2010-12-21 15:05:00,Netherlands,JUMBO STORAGE BAG SKULLS,165.0,100,2010-12
539731,2010-12-21 15:05:00,Netherlands,PACK OF 60 SPACEBOY CAKE CASES,50.4,120,2010-12
539731,2010-12-21 15:05:00,Netherlands,SPACEBOY TV DINNER TRAY,68.0,16,2010-12
539731,2010-12-21 15:05:00,Netherlands,TV DINNER TRAY DOLLY GIRL,68.0,16,2010-12
539731,2010-12-21 15:05:00,Netherlands,TV DINNER TRAY AIR HOSTESS ,78.0,40,2010-12
539731,2010-12-21 15:05:00,Netherlands,PLASTERS IN TIN STRONGMAN,139.2,96,2010-12
539731,2010-12-21 15:05:00,Netherlands,FAWN BLUE HOT WATER BOTTLE,91.8,36,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT CUSHION RABBIT,81.36,24,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT CUSHION BUTTERFLY,81.36,24,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT DOLL MOLLY,122.4,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT PRINCESS LOLA DOLL,162.72,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT PRINCESS OLIVIA DOLL,162.72,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT PRINCESS CHARLOTTE DOLL,162.72,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,RED TOADSTOOL LED NIGHT LIGHT,417.6,288,2010-12
539731,2010-12-21 15:05:00,Netherlands,LUNCH BOX WITH CUTLERY RETROSPOT ,126.0,60,2010-12
539731,2010-12-21 15:05:00,Netherlands,HAND WARMER BABUSHKA DESIGN,40.8,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,CLOTHES PEGS RETROSPOT PACK 24 ,180.0,144,2010-12
539731,2010-12-21 15:05:00,Netherlands,"SWISS ROLL TOWEL, PINK  SPOTS",120.0,96,2010-12
539731,2010-12-21 15:05:00,Netherlands,STRAWBERRY HONEYCOMB  GARLAND ,124.8,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,DOLLY HONEYCOMB GARLAND,124.8,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELT FARM ANIMAL RABBIT,40.32,96,2010-12
539731,2010-12-21 15:05:00,Netherlands,PARTY PIZZA DISH RED RETROSPOT,45.36,216,2010-12
539731,2010-12-21 15:05:00,Netherlands,WALL TIDY RETROSPOT ,255.0,300,2010-12
539731,2010-12-21 15:05:00,Netherlands,PARTY PIZZA DISH PINK POLKADOT,45.36,216,2010-12
539731,2010-12-21 15:05:00,Netherlands,PARTY PIZZA DISH GREEN POLKADOT,45.36,216,2010-12
539731,2010-12-21 15:05:00,Netherlands,PARTY PIZZA DISH BLUE POLKADOT,45.36,216,2010-12
539731,2010-12-21 15:05:00,Netherlands,MAGNETS PACK OF 4 RETRO PHOTO,100.8,240,2010-12
539731,2010-12-21 15:05:00,Netherlands,HAND TOWEL PALE BLUE W FLOWERS,125.0,100,2010-12
539731,2010-12-21 15:05:00,Netherlands,HAND TOWEL PINK FLOWER AND DAISY,125.0,100,2010-12
539731,2010-12-21 15:05:00,Netherlands,LA PALMIERA TILE COASTER,40.32,96,2010-12
539731,2010-12-21 15:05:00,Netherlands,CHILDRENS DOLLY GIRL MUG,278.4,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,GREEN 3 PIECE POLKADOT CUTLERY SET,244.08,72,2010-12
539731,2010-12-21 15:05:00,Netherlands,RED 3 PIECE RETROSPOT CUTLERY SET,244.08,72,2010-12
539731,2010-12-21 15:05:00,Netherlands,BLUE 3 PIECE POLKADOT CUTLERY SET,244.08,72,2010-12
539731,2010-12-21 15:05:00,Netherlands,PINK 3 PIECE POLKADOT CUTLERY SET,244.08,72,2010-12
539731,2010-12-21 15:05:00,Netherlands,RED RETROSPOT MINI CASES,304.79999999999995,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,ROUND SNACK BOXES SET OF4 WOODLAND ,489.6,192,2010-12
539731,2010-12-21 15:05:00,Netherlands,SPACEBOY LUNCH BOX ,211.2,128,2010-12
539731,2010-12-21 15:05:00,Netherlands,LUNCH BAG SPACEBOY DESIGN ,290.0,200,2010-12
539731,2010-12-21 15:05:00,Netherlands,WOODLAND CHARLOTTE BAG,144.0,200,2010-12
539731,2010-12-21 15:05:00,Netherlands,LUNCH BAG WOODLAND,290.0,200,2010-12
539731,2010-12-21 15:05:00,Netherlands,RED SPOTTY BISCUIT TIN,156.0,48,2010-12
539731,2010-12-21 15:05:00,Netherlands,FELTCRAFT CUSHION OWL,81.36,24,2010-12
539731,2010-12-21 15:05:00,Netherlands,CHARLOTTE BAG SUKI DESIGN,72.0,100,2010-12
541206,2011-01-14 12:24:00,Netherlands,PACK OF 12 PINK POLKADOT TISSUES,13.919999999999998,48,2011-01
541206,2011-01-14 12:24:00,Netherlands,ROSE COTTAGE KEEPSAKE BOX ,272.0,32,2011-01
541206,2011-01-14 12:24:00,Netherlands,MEMO BOARD COTTAGE DESIGN,102.0,24,2011-01
541206,2011-01-14 12:24:00,Netherlands,MEMO BOARD RETROSPOT  DESIGN,136.0,32,2011-01
541206,2011-01-14 12:24:00,Netherlands,WALL TIDY RETROSPOT ,17.0,20,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET OF 3 NOTEBOOKS IN PARCEL,139.2,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED GINGHAM ROSE JEWELLERY BOX,139.2,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET/3 RED GINGHAM ROSE STORAGE BOX,244.08,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET3 BOOK BOX GREEN GINGHAM FLOWER ,240.0,64,2011-01
541206,2011-01-14 12:24:00,Netherlands,FAIRY TALE COTTAGE NIGHTLIGHT,158.39999999999998,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED TOADSTOOL LED NIGHT LIGHT,417.6,288,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED RETROSPOT MINI CASES,457.2,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 12 TRADITIONAL CRAYONS,103.68,288,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 12 COLOURED PENCILS,103.68,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,JAM MAKING SET WITH JARS,180.0,48,2011-01
541206,2011-01-14 12:24:00,Netherlands,JAM MAKING SET PRINTED,240.0,192,2011-01
541206,2011-01-14 12:24:00,Netherlands,JAM JAR WITH PINK LID,34.56,48,2011-01
541206,2011-01-14 12:24:00,Netherlands,JAM JAR WITH GREEN LID,34.56,48,2011-01
541206,2011-01-14 12:24:00,Netherlands,RECIPE BOX PANTRY YELLOW DESIGN,61.2,24,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 12 WOODLAND TISSUES ,41.76,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,COWBOYS AND INDIANS BIRTHDAY CARD ,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,"ELEPHANT, BIRTHDAY CARD, ",51.84,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,SPACEBOY BIRTHDAY CARD,51.84,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,CARD BIRTHDAY COWBOY,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,RAINY LADIES BIRTHDAY CARD,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,CARD WEDDING DAY,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,PENNY FARTHING BIRTHDAY CARD,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,VINTAGE CARAVAN GREETING CARD ,25.92,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,EASTER TIN BUCKET,134.4,64,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 72 RETROSPOT CAKE CASES,50.4,120,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 60 SPACEBOY CAKE CASES,50.4,120,2011-01
541206,2011-01-14 12:24:00,Netherlands,60 CAKE CASES DOLLY GIRL DESIGN,50.4,120,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 60 MUSHROOM CAKE CASES,100.8,240,2011-01
541206,2011-01-14 12:24:00,Netherlands,72 SWEETHEART FAIRY CAKE CASES,50.4,120,2011-01
541206,2011-01-14 12:24:00,Netherlands,36 FOIL HEART CAKE CASES,266.40000000000003,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET OF 72 RETROSPOT PAPER  DOILIES,120.0,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,36 FOIL STAR CAKE CASES ,88.80000000000001,48,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET/20 RED RETROSPOT PAPER NAPKINS ,61.44,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,RETROSPOT PARTY BAG + STICKER SET,139.2,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,WOODLAND PARTY BAG + STICKER SET,208.8,144,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 20 SPACEBOY NAPKINS,61.44,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,PACK OF 20 NAPKINS RED APPLES,122.88,192,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET/20 STRAWBERRY PAPER NAPKINS ,61.44,96,2011-01
541206,2011-01-14 12:24:00,Netherlands,SET/10 BLUE POLKADOT PARTY CANDLES,305.28000000000003,288,2011-01
541206,2011-01-14 12:24:00,Netherlands,PAPER BUNTING RETROSPOT,102.0,40,2011-01
541206,2011-01-14 12:24:00,Netherlands,WOODLAND CHARLOTTE BAG,72.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,CHARLOTTE BAG PINK POLKADOT,72.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,CHARLOTTE BAG DOLLY GIRL DESIGN,72.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED RETROSPOT CHARLOTTE BAG,144.0,200,2011-01
541206,2011-01-14 12:24:00,Netherlands,CHARLOTTE BAG SUKI DESIGN,72.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,LUNCH BAG RED RETROSPOT,145.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,JUMBO STORAGE BAG SUKI,165.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED RETROSPOT SHOPPER BAG,106.0,100,2011-01
541206,2011-01-14 12:24:00,Netherlands,RED 3 PIECE RETROSPOT CUTLERY SET,244.08,72,2011-01
541206,2011-01-14 12:24:00,Netherlands,MAGNETS PACK OF 4 CHILDHOOD MEMORY,114.48,108,2011-01
541206,2011-01-14 12:24:00,Netherlands,RETROSPOT CHILDRENS APRON,99.0,60,2011-01
